Referencia,Titular,NIF/CIF,Domicilio social,Localidad,Provincia,C. Postal,F. Concesion,F. Caducidad,Susceptible cesion,Susceptible mutualizacion,Obtenido por transferencia
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
ALAL-0700001,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,05/02/2007,31/12/2022,true,,
ALAL-0900386,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/02/2010,31/12/2025,true,,
ALAL-1000193,AXION INFRAESTRUCTURAS DE TELECOMUNICACIONES S.A.U.,A41999913,"AVDA ANDALUCÍA, S/N.",SEVILLA,SEVILLA,41907,17/09/2010,31/12/2025,true,,
ALAL-1000250,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,17/09/2010,31/12/2025,true,,
ALAL-1000334,"VODAFONE ONO, S.A.",A62186556,"AV AMERICA, 115",MADRID,MADRID,28042,10/12/2010,31/12/2025,true,,
ALAL-1100049,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,20/06/2011,31/12/2026,true,,
ALAL-1100050,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,05/07/2011,31/12/2026,true,,
ALAL-1200070,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,22/08/2012,31/12/2022,true,,
ALAL-1200175,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
ALAL-1200176,XFERA MOVILES SA,A82528548,"AVDA BRUSELAS, 38.",ALCOBENDAS,MADRID,28108,01/10/2012,31/12/2022,true,,
1 2 3 4 5 6 7 8 9 10 ...,1,2,3,4,5,6,7,8,9,10,...
